run_id,mode,password_length,guesses,seconds,target_password
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,433152,0.341016531,wgez
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,122652,0.103083611,axxz
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,1352608,1.069980383,3qym
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,1564680,1.207799196,8ohi
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,920559,0.722898006,o1ht
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,1548141,1.224169731,8do8
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,507845,0.40149498,g654
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,552094,0.43586278,h4q9
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,1054247,0.819880247,xkmv
87ba6704-aecc-11ec-98e3-cc1531b0d32a,string_lower,4,408020,0.322111368,f147
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,3992,0,2881
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,6902,0.005527973,5791
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,1722,0.001330137,611
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,7952,0.004010439,6841
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,4422,0.008440256,3311
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,9424,0.008751154,8313
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,1785,0.008324623,674
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,5307,0,4196
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,8862,0.008266687,7751
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,4399,0,3288
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,6604,0,5493
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,10049,0.007208824,8938
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,7303,0.008009672,6192
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,7919,0.014603376,6808
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,9788,0.012482166,8677
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,1969,0.004743099,858
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,3192,0.002886772,2081
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,5045,0.002705336,3934
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,1541,0.008175611,430
eb8de99e-af7d-11ec-880a-cc1531b0d32a,numeric,4,7796,0.008056879,6685
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,60817,0.049659014,49706
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,13635,0.010694981,2524
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,54227,0.044523239,43116
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,61157,0.057213068,50046
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,50571,0.047483683,39460
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,59955,0.058938026,48844
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,67310,0.058071613,56199
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,97271,0.084863663,86160
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,107284,0.09727025,96173
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,98798,0.091834068,87687
f244f571-af7d-11ec-af4e-cc1531b0d32a,numeric,5,56396,0.053751945,45285
